ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
C31,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C31.0,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C31.1,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C31.2,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C31.3,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C31.8,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C31.9,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C32,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C32.0,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C32.1,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C32.2,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C32.3,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C32.8,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C32.9,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C33,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C34,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C34.0,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C34.1,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C34.2,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C34.3,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C34.8,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C34.9,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C37,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C38.0,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C38.1,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C38.2,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C38.3,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C38.4,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C38.8,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C39,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C39.0,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C39.8,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C39.9,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C40,170.1,170-171.99,"Cancer of bone, connective tissue"
C40.0,170.1,170-171.99,"Cancer of bone, connective tissue"
C40.1,170.1,170-171.99,"Cancer of bone, connective tissue"
C40.2,170.1,170-171.99,"Cancer of bone, connective tissue"
C40.3,170.1,170-171.99,"Cancer of bone, connective tissue"
C40.8,170.1,170-171.99,"Cancer of bone, connective tissue"
C40.9,170.1,170-171.99,"Cancer of bone, connective tissue"
C41,170.1,170-171.99,"Cancer of bone, connective tissue"
C41.0,170.1,170-171.99,"Cancer of bone, connective tissue"
C41.1,170.1,170-171.99,"Cancer of bone, connective tissue"
C41.2,170.1,170-171.99,"Cancer of bone, connective tissue"
C41.3,170.1,170-171.99,"Cancer of bone, connective tissue"
C41.4,170.1,170-171.99,"Cancer of bone, connective tissue"
C41.9,170.1,170-171.99,"Cancer of bone, connective tissue"
C43,172.11,172-173.99,Malignant neoplasm of skin
C43.0,172.11,172-173.99,Malignant neoplasm of skin
C43.1,172.11,172-173.99,Malignant neoplasm of skin
C43.2,172.11,172-173.99,Malignant neoplasm of skin
C43.3,172.11,172-173.99,Malignant neoplasm of skin
C43.4,172.11,172-173.99,Malignant neoplasm of skin
C43.5,172.11,172-173.99,Malignant neoplasm of skin
C43.6,172.11,172-173.99,Malignant neoplasm of skin
C43.7,172.11,172-173.99,Malignant neoplasm of skin
C43.8,172.11,172-173.99,Malignant neoplasm of skin
C43.9,172.11,172-173.99,Malignant neoplasm of skin
C44.0,172.2,172-173.99,Malignant neoplasm of skin
C44.1,172.2,172-173.99,Malignant neoplasm of skin
C44.2,172.2,172-173.99,Malignant neoplasm of skin
C44.3,172.2,172-173.99,Malignant neoplasm of skin
C44.4,172.2,172-173.99,Malignant neoplasm of skin
C44.5,172.2,172-173.99,Malignant neoplasm of skin
C44.6,172.2,172-173.99,Malignant neoplasm of skin
C44.7,172.2,172-173.99,Malignant neoplasm of skin
C44.8,172.2,172-173.99,Malignant neoplasm of skin
C44.9,172.2,172-173.99,Malignant neoplasm of skin
C45,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C45.0,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C45.1,159.4,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
C45.2,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C45.7,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C45.9,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C46,230,230-230.99,Kaposi's sarcoma
C46.0,230,230-230.99,Kaposi's sarcoma
C46.1,230,230-230.99,Kaposi's sarcoma
C46.2,230,230-230.99,Kaposi's sarcoma
C46.3,230,230-230.99,Kaposi's sarcoma
C46.7,230,230-230.99,Kaposi's sarcoma
C46.8,230,230-230.99,Kaposi's sarcoma
C46.9,230,230-230.99,Kaposi's sarcoma
C47,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.0,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.1,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.2,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.3,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.4,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.5,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.6,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.8,170.2,170-171.99,"Cancer of bone, connective tissue"
C47.9,170.2,170-171.99,"Cancer of bone, connective tissue"
C48,159.4,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
C48.0,159.4,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
C48.1,159.4,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
C48.2,159.4,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
C48.8,159.4,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
C49,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.0,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.1,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.2,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.3,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.4,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.5,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.6,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.8,170.2,170-171.99,"Cancer of bone, connective tissue"
C49.9,170.2,170-171.99,"Cancer of bone, connective tissue"
C50,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.0,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.1,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.2,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.3,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.4,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.5,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.6,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.8,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C50.9,174.11,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia
C51,184.2,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C51.0,184.2,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C51.1,184.2,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C51.2,184.2,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C51.8,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C51.9,184.2,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C52,184.2,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C53,180.1,"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
C53.0,180.1,"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
C53.1,180.1,"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
C53.8,180.1,"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
C53.9,180.1,"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
C54,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C54.0,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C54.1,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C54.2,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C54.3,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C54.8,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C54.9,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C55,182,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus
C56,184.11,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.0,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.1,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.2,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.3,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.4,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.7,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.8,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C57.9,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C58,184.1,"174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs
C60,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C60.0,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C60.1,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C60.2,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C60.8,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C60.9,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C61,185,"185-187.99, 796-796.99, 600-602.99",male genital disorders/cancer/neoplasms; elevated psa
C62,187.2,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C62.0,187.2,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C62.1,187.2,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C62.9,187.2,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C63,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C63.0,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C63.1,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C63.2,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C63.7,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C63.8,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C63.9,187.1,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs
C64,189.11,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C65,189.12,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C66,189.4,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.0,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.1,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.2,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.3,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.4,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.5,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.6,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.7,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.8,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C67.9,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C68,189.4,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C68.0,189.4,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C68.1,189.4,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C68.8,189.4,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C68.9,189.4,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C69,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.0,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.1,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.2,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.3,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.4,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.5,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.6,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.8,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C69.9,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C70,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C70.0,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C70.1,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C70.9,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.0,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.1,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.2,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.3,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.4,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.5,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.6,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.7,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.8,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C71.9,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.0,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.1,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.2,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.3,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.4,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.5,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.8,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C72.9,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C73,193,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C74,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C74.0,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C74.1,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C74.9,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.0,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.1,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.2,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.3,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.4,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.5,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.8,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C75.9,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
C76,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C76.0,195.3,,
C76.1,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
C76.2,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C76.3,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C76.4,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C76.5,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C76.7,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C76.8,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.0,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.1,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.2,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.3,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.4,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.5,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.8,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C77.9,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.0,198.2,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.1,198.2,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.2,198.2,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.3,198.2,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.4,198.3,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.5,198.3,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.6,198.3,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.7,198.4,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C78.8,198.3,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.0,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.1,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.2,198.7,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.3,198.5,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.4,198.5,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.5,198.6,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.6,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.7,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C79.8,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C80,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C81,201,200-204.99,cancer of lymphatic and hematopoietic tissue
C81.0,201,200-204.99,cancer of lymphatic and hematopoietic tissue
C81.1,201,200-204.99,cancer of lymphatic and hematopoietic tissue
C81.2,201,200-204.99,cancer of lymphatic and hematopoietic tissue
C81.3,201,200-204.99,cancer of lymphatic and hematopoietic tissue
C81.7,201,200-204.99,cancer of lymphatic and hematopoietic tissue
C81.9,201,200-204.99,cancer of lymphatic and hematopoietic tissue
C82,202.21,200-204.99,cancer of lymphatic and hematopoietic tissue
C82.0,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C82.1,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C82.2,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C82.7,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C82.9,202.21,200-204.99,cancer of lymphatic and hematopoietic tissue
C83,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.0,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.1,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.2,202.23,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.2,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.3,202.24,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.4,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.5,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.6,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.7,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.8,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C83.9,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C84,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C84.0,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C84.1,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C84.2,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C84.3,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C84.4,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C84.5,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C85,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C85.0,202.23,200-204.99,cancer of lymphatic and hematopoietic tissue
C85.1,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C85.7,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C85.9,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C88,204.4,200-204.99,cancer of lymphatic and hematopoietic tissue
C88.0,270.35,269-270.99,Disorders of amino-acid transport/metabolism
C88.1,204.4,200-204.99,cancer of lymphatic and hematopoietic tissue
C88.2,204.4,200-204.99,cancer of lymphatic and hematopoietic tissue
C88.3,204.4,200-204.99,cancer of lymphatic and hematopoietic tissue
C88.7,200,200-204.99,cancer of lymphatic and hematopoietic tissue
C88.9,204.4,200-204.99,cancer of lymphatic and hematopoietic tissue
C90.0,204.4,200-204.99,cancer of lymphatic and hematopoietic tissue
C90.1,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C90.2,204.4,200-204.99,cancer of lymphatic and hematopoietic tissue
C91,204.1,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.0,204.11,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.1,204.12,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.2,204.1,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.3,204.1,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.4,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.5,204.1,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.7,204.1,200-204.99,cancer of lymphatic and hematopoietic tissue
C91.9,204.1,200-204.99,cancer of lymphatic and hematopoietic tissue
C92,204.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.0,204.21,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.1,204.22,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.2,204.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.3,204.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.4,204.21,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.5,204.21,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.7,204.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C92.9,204.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C93,204.3,200-204.99,cancer of lymphatic and hematopoietic tissue
C93.0,204.3,200-204.99,cancer of lymphatic and hematopoietic tissue
C93.1,204.3,200-204.99,cancer of lymphatic and hematopoietic tissue
C93.2,204.3,200-204.99,cancer of lymphatic and hematopoietic tissue
C93.7,204.3,200-204.99,cancer of lymphatic and hematopoietic tissue
C93.9,204.3,200-204.99,cancer of lymphatic and hematopoietic tissue
C94.0,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C94.1,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C94.2,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C94.3,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C94.4,200,200-204.99,cancer of lymphatic and hematopoietic tissue
C94.5,200,200-204.99,cancer of lymphatic and hematopoietic tissue
C94.7,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C95,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C95.0,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C95.1,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C95.2,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C95.7,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C95.9,204,200-204.99,cancer of lymphatic and hematopoietic tissue
C96.0,202,200-204.99,cancer of lymphatic and hematopoietic tissue
C96.0,277,277-277.99,Other/unspecified disorders of metabolism
C96.1,202,200-204.99,cancer of lymphatic and hematopoietic tissue
C96.2,202,200-204.99,cancer of lymphatic and hematopoietic tissue
C96.3,202,200-204.99,cancer of lymphatic and hematopoietic tissue
C96.7,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C96.9,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
C97,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
D00.0,145,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
D00.1,150,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
D00.2,151,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract
